ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1715,California,Sonoma,Annapolis,38.714485,-123.314214
1790,California,Sonoma,Bodega,38.339264,-122.951364
1791,California,Sonoma,"Bodega Bay",38.330921,-123.037308
1801,California,Sonoma,"Boyes Hot Springs",38.313889,-122.480833
1842,California,Sonoma,"Camp Meeker",38.425278,-122.958333
1880,California,Sonoma,Cazadero,38.566335,-123.182896
1911,California,Sonoma,Cloverdale,38.799396,-123.011725
1935,California,Sonoma,Cotati,38.325918,-122.704831
1995,California,Sonoma,"Duncans Mills",38.453889,-123.053889
2020,California,Sonoma,"El Verano",38.297778,-122.490556
2021,California,Sonoma,Eldridge,38.348889,-122.509722
2068,California,Sonoma,Forestville,38.489442,-122.896683
2086,California,Sonoma,Fulton,38.494732,-122.77608
2096,California,Sonoma,Geyserville,38.700398,-122.888921
2098,California,Sonoma,"Glen Ellen",38.362538,-122.521002
2114,California,Sonoma,Graton,38.434971,-122.866766
2131,California,Sonoma,Guerneville,38.509573,-122.994416
2147,California,Sonoma,Healdsburg,38.61553,-122.856529
2200,California,Sonoma,Jenner,38.474093,-123.135379
2212,California,Sonoma,Kenwood,38.416794,-122.554679
2387,California,Sonoma,"Monte Rio",38.462668,-123.00447
2460,California,Sonoma,Occidental,38.396911,-122.988194
2514,California,Sonoma,Penngrove,38.315948,-122.671772
2518,California,Sonoma,Petaluma,38.240349,-122.677727
2605,California,Sonoma,"Rio Nido",38.521111,-122.975833
2616,California,Sonoma,"Rohnert Park",38.3269,-122.7061
2684,California,Sonoma,"Santa Rosa",38.443123,-122.751722
2695,California,Sonoma,Sebastopol,38.391543,-122.838503
2729,California,Sonoma,Sonoma,38.295659,-122.472843
2749,California,Sonoma,"Stewarts Point",38.651944,-123.398056
2791,California,Sonoma,"The Sea Ranch",38.725627,-123.467486
2836,California,Sonoma,"Valley Ford",38.315729,-122.924457
2848,California,Sonoma,"Villa Grande",38.473056,-123.024444
2851,California,Sonoma,Vineburg,38.2725,-122.4375
2899,California,Sonoma,Windsor,38.543182,-122.804375
