ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1692,California,Alameda,Alameda,37.764783,-122.260516
1694,California,Alameda,Albany,37.890045,-122.295394
1767,California,Alameda,Berkeley,37.8691,-122.2696
1875,California,Alameda,"Castro Valley",37.701527,-122.078183
1992,California,Alameda,Dublin,37.716597,-121.922589
2027,California,Alameda,Emeryville,37.836466,-122.280363
2080,California,Alameda,Fremont,37.560493,-121.999935
2146,California,Alameda,Hayward,37.6564,-122.0957
2286,California,Alameda,Livermore,37.68299,-121.762983
2423,California,Alameda,Newark,37.536812,-122.031956
2456,California,Alameda,Oakland,37.780595,-122.216587
2524,California,Alameda,Piedmont,37.8276,-122.2507
2546,California,Alameda,Pleasanton,37.665804,-121.8755
2655,California,Alameda,"San Leandro",37.720467,-122.158705
2656,California,Alameda,"San Lorenzo",37.678671,-122.129547
2768,California,Alameda,Sunol,37.609403,-121.898636
2827,California,Alameda,"Union City",37.589458,-122.049702
