ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1721,California,"Santa Cruz",Aptos,36.977222,-121.898333
1764,California,"Santa Cruz","Ben Lomond",37.086183,-122.083869
1799,California,"Santa Cruz","Boulder Creek",37.149934,-122.133053
1811,California,"Santa Cruz",Brookdale,37.106389,-122.105
1858,California,"Santa Cruz",Capitola,36.977359,-121.952145
1961,California,"Santa Cruz",Davenport,37.06306,-122.225735
2049,California,"Santa Cruz",Felton,37.063124,-122.062162
2079,California,"Santa Cruz",Freedom,36.936483,-121.776761
2308,California,"Santa Cruz","Los Gatos",37.1536,-121.9812
2403,California,"Santa Cruz","Mount Hermon",37.051111,-122.0575
2677,California,"Santa Cruz","Santa Cruz",36.982946,-122.043612
2692,California,"Santa Cruz","Scotts Valley",37.057841,-122.014961
2731,California,"Santa Cruz",Soquel,37.003525,-121.950255
2864,California,"Santa Cruz",Watsonville,36.920515,-121.763437
