ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1929,California,Tehama,Corning,39.929566,-122.195991
2059,California,Tehama,Flournoy,39.920556,-122.435
2095,California,Tehama,Gerber,40.042997,-122.164937
2309,California,Tehama,"Los Molinos",40.049735,-122.099175
2332,California,Tehama,Manton,40.433125,-121.836521
2367,California,Tehama,"Mill Creek",40.326389,-121.521667
2372,California,Tehama,Mineral,40.328826,-121.524807
2505,California,Tehama,Paskenta,39.884722,-122.544722
2510,California,Tehama,"Paynes Creek",40.351415,-121.764952
2567,California,Tehama,Proberta,40.081667,-122.169444
2583,California,Tehama,"Red Bluff",40.179535,-122.238281
2785,California,Tehama,Tehama,40.027222,-122.122222
2850,California,Tehama,Vina,39.933056,-122.052778
