ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1765,California,Solano,Benicia,38.068459,-122.161392
1782,California,Solano,"Birds Landing",38.150402,-121.844318
1980,California,Solano,Dixon,38.458691,-121.815825
2025,California,Solano,Elmira,38.348333,-121.908889
2041,California,Solano,Fairfield,38.267084,-122.03565
2607,California,Solano,"Rio Vista",38.163734,-121.701635
2761,California,Solano,"Suisun City",38.240834,-122.042003
2808,California,Solano,"Travis Afb",38.274313,-121.946317
2831,California,Solano,Vacaville,38.341915,-121.962285
2834,California,Solano,Vallejo,38.148345,-122.249333
