ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1777,California,Tuolumne,"Big Oak Flat",37.823611,-120.257222
1893,California,Tuolumne,"Chinese Camp",37.856829,-120.406673
1921,California,Tuolumne,Columbia,38.03975,-120.405552
1959,California,Tuolumne,Dardanelle,38.341111,-119.832778
2125,California,Tuolumne,Groveland,37.840899,-120.191809
2197,California,Tuolumne,Jamestown,37.906544,-120.494567
2298,California,Tuolumne,"Long Barn",38.20336,-120.001159
2362,California,Tuolumne,"Mi Wuk Village",38.105576,-120.131762
2378,California,Tuolumne,Moccasin,37.810833,-120.298889
2530,California,Tuolumne,Pinecrest,38.341062,-119.865195
2730,California,Tuolumne,Sonora,37.995692,-120.338498
2732,California,Tuolumne,Soulsbyville,37.992794,-120.259892
2743,California,Tuolumne,Standard,37.984167,-120.381111
2757,California,Tuolumne,Strawberry,38.201667,-119.997778
2817,California,Tuolumne,Tuolumne,37.971339,-120.237496
2822,California,Tuolumne,"Twain Harte",38.044722,-120.2155
