ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1706,California,"Santa Clara",Alviso,37.427659,-121.968597
1845,California,"Santa Clara",Campbell,37.280007,-121.95539
1941,California,"Santa Clara",Coyote,37.216721,-121.746021
1951,California,"Santa Clara",Cupertino,37.317363,-122.038604
2097,California,"Santa Clara",Gilroy,37.016005,-121.57825
2165,California,"Santa Clara","Holy City",37.156944,-121.977778
2304,California,"Santa Clara","Los Altos",37.381432,-122.125754
2307,California,"Santa Clara","Los Gatos",37.211677,-121.978684
2371,California,"Santa Clara",Milpitas,37.436491,-121.892885
2396,California,"Santa Clara","Morgan Hill",37.129171,-121.64636
2402,California,"Santa Clara","Mount Hamilton",37.316087,-121.639948
2410,California,"Santa Clara","Mountain View",37.41001,-122.051944
2421,California,"Santa Clara","New Almaden",37.176111,-121.819722
2494,California,"Santa Clara","Palo Alto",37.444324,-122.149685
2591,California,"Santa Clara","Redwood Estates",37.156389,-121.985556
2652,California,"Santa Clara","San Jose",37.3894,-121.8868
2662,California,"Santa Clara","San Martin",37.091118,-121.599901
2675,California,"Santa Clara","Santa Clara",37.34732,-121.954079
2688,California,"Santa Clara",Saratoga,37.272871,-122.018238
2745,California,"Santa Clara",Stanford,37.423573,-122.161867
2767,California,"Santa Clara",Sunnyvale,37.368889,-122.035278
