ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1695,California,Mendocino,Albion,39.215934,-123.721366
1796,California,Mendocino,Boonville,39.035007,-123.401954
1804,California,Mendocino,Branscomb,39.700531,-123.554982
1837,California,Mendocino,Calpella,39.150278,-123.206667
1871,California,Mendocino,Caspar,39.365102,-123.798489
1923,California,Mendocino,Comptche,39.249919,-123.585652
1939,California,Mendocino,Covelo,39.801864,-123.215015
1984,California,Mendocino,"Dos Rios",39.709298,-123.298294
2022,California,Mendocino,Elk,39.160402,-123.723961
2071,California,Mendocino,"Fort Bragg",39.437452,-123.78835
2128,California,Mendocino,Gualala,38.803619,-123.553975
2171,California,Mendocino,Hopland,38.972056,-123.116956
2267,California,Mendocino,Laytonville,39.667811,-123.486862
2271,California,Mendocino,Leggett,39.865833,-123.713056
2283,California,Mendocino,"Little River",39.271042,-123.753089
2329,California,Mendocino,Manchester,38.992088,-123.670962
2355,California,Mendocino,Mendocino,39.323212,-123.78846
2417,California,Mendocino,Navarro,39.065833,-123.443889
2522,California,Mendocino,Philo,39.120005,-123.538218
2526,California,Mendocino,Piercy,39.966389,-123.794167
2548,California,Mendocino,"Point Arena",38.915264,-123.660756
2563,California,Mendocino,"Potter Valley",39.329639,-123.104181
2592,California,Mendocino,"Redwood Valley",39.269446,-123.213289
2779,California,Mendocino,Talmage,39.130833,-123.165
2826,California,Mendocino,Ukiah,39.151917,-123.200692
2882,California,Mendocino,Westport,39.644059,-123.76426
2892,California,Mendocino,Willits,39.411426,-123.350271
2918,California,Mendocino,Yorkville,38.908945,-123.233867
