ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1778,California,Inyo,"Big Pine",37.167857,-118.291597
1783,California,Inyo,Bishop,37.386301,-118.44156
1960,California,Inyo,Darwin,36.268056,-117.590833
1964,California,Inyo,"Death Valley",36.467165,-116.893682
2185,California,Inyo,Independence,36.839578,-118.204808
2208,California,Inyo,Keeler,36.487222,-117.873056
2282,California,Inyo,"Little Lake",35.936667,-117.905833
2297,California,Inyo,"Lone Pine",36.579781,-118.057824
2465,California,Inyo,Olancha,36.320833,-118.025556
2710,California,Inyo,Shoshone,35.899239,-116.264476
2783,California,Inyo,Tecopa,35.897925,-115.829824
