ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1711,California,Shasta,Anderson,40.457432,-122.328218
1760,California,Shasta,"Bella Vista",40.740945,-122.07245
1775,California,Shasta,"Big Bend",41.020833,-121.91
1820,California,Shasta,Burney,40.894927,-121.655036
1872,California,Shasta,Cassel,40.907832,-121.524497
1874,California,Shasta,Castella,41.138611,-122.316667
1936,California,Shasta,Cottonwood,40.369072,-122.337463
2042,California,Shasta,"Fall River Mills",41.03931,-121.460562
2082,California,Shasta,"French Gulch",40.703517,-122.622868
2141,California,Shasta,"Hat Creek",40.767673,-121.463687
2182,California,Shasta,Igo,40.431795,-122.654023
2255,California,Shasta,Lakehead,40.958775,-122.359281
2370,California,Shasta,Millville,40.565316,-122.111088
2391,California,Shasta,"Montgomery Creek",40.912378,-121.923313
2452,California,Shasta,"Oak Run",40.68631,-122.040932
2459,California,Shasta,Obrien,40.812222,-122.323056
2466,California,Shasta,"Old Station",40.62557,-121.458476
2495,California,Shasta,"Palo Cedro",40.576661,-122.239805
2542,California,Shasta,Platina,40.316528,-122.918013
2586,California,Shasta,Redding,40.560493,-122.411627
2622,California,Shasta,"Round Mountain",40.794167,-121.940833
2702,California,Shasta,Shasta,40.610896,-122.49685
2703,California,Shasta,"Shasta Lake",40.680262,-122.365395
2709,California,Shasta,Shingletown,40.504959,-121.885668
2885,California,Shasta,Whiskeytown,40.638889,-122.558611
2888,California,Shasta,Whitmore,40.65255,-121.877076
