ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1696,California,Humboldt,Alderpoint,40.176389,-123.610556
1724,California,Humboldt,Arcata,40.866667,-124.081667
1753,California,Humboldt,Bayside,40.822381,-124.027305
1785,California,Humboldt,Blocksburg,40.276111,-123.635278
1788,California,Humboldt,"Blue Lake",40.928701,-123.896696
1809,California,Humboldt,Bridgeville,40.468566,-123.549351
1860,California,Humboldt,Carlotta,40.507027,-123.974287
1953,California,Humboldt,Cutten,40.77,-124.141667
2037,California,Humboldt,Eureka,40.776237,-124.155892
2050,California,Humboldt,Ferndale,40.574488,-124.252268
2052,California,Humboldt,"Fields Landing",40.724722,-124.213889
2075,California,Humboldt,Fortuna,40.584931,-124.140654
2088,California,Humboldt,Garberville,40.100278,-123.793889
2168,California,Humboldt,Honeydew,40.244444,-124.121667
2170,California,Humboldt,Hoopa,41.105937,-123.692754
2180,California,Humboldt,Hydesville,40.549576,-124.084489
2225,California,Humboldt,Kneeland,40.71262,-123.946421
2228,California,Humboldt,Korbel,40.824369,-123.859413
2292,California,Humboldt,Loleta,40.6531,-124.228826
2351,California,Humboldt,Mckinleyville,40.875833,-124.083056
2375,California,Humboldt,Miranda,40.234722,-123.8225
2414,California,Humboldt,"Myers Flat",40.194758,-123.822713
2476,California,Humboldt,Orick,41.30724,-124.050319
2479,California,Humboldt,Orleans,41.318092,-123.529564
2519,California,Humboldt,Petrolia,40.300558,-124.251236
2521,California,Humboldt,Phillipsville,40.209167,-123.784722
2585,California,Humboldt,Redcrest,40.406458,-123.94205
2589,California,Humboldt,Redway,40.110081,-123.844194
2603,California,Humboldt,"Rio Dell",40.495147,-124.104386
2634,California,Humboldt,Samoa,40.803712,-124.193571
2690,California,Humboldt,Scotia,40.454665,-124.039074
2810,California,Humboldt,Trinidad,41.087949,-124.101253
2871,California,Humboldt,Weott,40.321944,-123.920556
2887,California,Humboldt,Whitethorn,40.023889,-123.941944
2893,California,Humboldt,"Willow Creek",40.938894,-123.631062
